recipe,rel,material
鲜虾蟹柳色拉,contains,黄瓜
佛手包菜,contains,猪肋条肉（五花肉）
焦炸茄子,contains,鸡蛋
煎卷筒笋丝,contains,鸡蛋
沙司寿桃,contains,土豆
红烧狮子头(四喜丸子),contains,虾仁
牛尾清汤,contains,白萝卜
鸡片海参,contains,鸡胸脯肉
枣粟焖仔鸡,contains,枣（干）
八宝鸡,contains,鸡肫
西洋菜及第汤,contains,蜜枣
蘑菇炒韭芽,contains,红辣椒
烩蘑菇鸡柳,contains,蘑菇(鲜蘑)
杏仁熘鸽丁,contains,杏仁
烩冬菇素鱼片,contains,奶油
桂花鱼丝,contains,鸡蛋
糟熘鱼白,contains,鸡蛋清
花菇鸡丝,contains,金华火腿
冬菇油鸡,contains,香菇（鲜）
雪盖乌龙,contains,香菜
黄汁鸡块汤,contains,桃
粉葛鲫鱼汤,contains,蜜枣
黄瓜氽肉片汤,contains,木耳(水发) 
海参猪爪汤,contains,火腿
核桃炖鸡,contains,核桃
什锦豆腐,contains,猪心
鸡腿菇炖笋,contains,鸡腿蘑(干)
鲫鱼鸳鸯蛋,contains,鸡蛋
大煮干丝,contains,虾仁
长鱼煮干丝,contains,鳝鱼
炒豆腐泥,contains,黄豆芽
翡翠干丝,contains,香菜
枸杞头氽鸡片,contains,火腿肠
银丝肉,contains,青椒
油漆白菜,contains,香菇（鲜）
芦荟拌鸡丝,contains,芦荟
粉皮拌鸡丝,contains,大葱
豌豆拌鸡肉,contains,番茄
香辣鱼丁,contains,虾仁
鸳鸯河虾,contains,白芝麻
冬笋扁豆,contains,香菇（干）
枸杞干丝,contains,枸杞子
蜜汁熏干,contains,虾米
附子冰糖炖冬瓜,contains,杏仁
人参炖鹌鹑,contains,人参
党参香菇延寿鸡,contains,党参
何首乌鸡,contains,黄芪
八宝童鸡,contains,糯米
素什锦水饺,contains,冬笋
馄饨汤,contains,鸡蛋清
花生粥,contains,冰糖
上汤素水饺,contains,圆白菜
红花绿叶粥,contains,小白菜
炒芹菜豆腐干,contains,豆腐干
金针熏鱼,contains,淀粉(蚕豆)
羔烧白果,contains,橘饼
止泻猪肚汤,contains,山药(干)
北芪参枣生鱼汤,contains,黄芪
人参炖羊肉,contains,人参
芝麻仁粥,contains,黑芝麻
首乌小米粥,contains,何首乌
牛肉归芪汤,contains,当归
枸杞桃仁鸡丁,contains,核桃
三鲜蛋饺汤,contains,小麦面粉
莲子蛋汤,contains,山药(干)
小米红枣粥,contains,赤小豆
人参炖鸡,contains,人参
鲜肉灌汤蒸饺,contains,冬笋
家常包子,contains,虾皮
黄芪煲鹌鹑,contains,黄芪
鸡丝花卷,contains,鸡肉
麦穗包,contains,香菇（鲜）
奶油珍珠,contains,蘑菇(鲜蘑)
小米蛋奶粥,contains,鸡蛋
丽参鸡汤,contains,高丽参
蚝油滑鸡条,contains,鸡蛋清
糟溜三白,contains,鸡蛋清
桂圆莲子粥,contains,莲子
山药大枣粥,contains,山药
鳗鱼山药饭,contains,山药
山东海参,contains,鸡蛋
滋补鲫鱼煲,contains,白萝卜
圆肉腐竹红枣白菜汤,contains,枣（干）
芪归炖鸡汤,contains,黄芪
金银丝糕,contains,酵母
人参淮药糕,contains,人参
薏苡仁煲鹌鹑,contains,薏米
淮山芡实炖鱼肚,contains,山药(干)
银耳莲子枸杞粥,contains,银耳(干)
羊肾黑豆杜仲汤,contains,黑豆
芦笋天门冬粥,contains,枣（干）
瓤作海参,contains,猪肉(肥)
参杞烧海参,contains,党参
毛豆虾仁羹,contains,火腿肠
银耳乌龙汤,contains,银耳(干)
白果麦片粥,contains,白果（干）
牛奶杏仁粥,contains,苦杏仁
骨皮炖猪蹄,contains,地骨皮
白果粥,contains,燕麦片
雀肉粟米羹汤,contains,荸荠粉
淮杞羊腿汤,contains,山药(干)
白汁过鱼,contains,豌豆
香茗粥,contains,茶叶
五彩野兔丝,contains,冬笋
荔枝杞子猪肘汤,contains,枸杞子
五仁粥,contains,芝麻
淮杞狗肉,contains,山药
归参炖母鸡,contains,当归
萝卜枸杞炖鸭肝,contains,枸杞子
枸杞炖羊肾,contains,枸杞子
鱼蓉海参,contains,韭菜
栗豆腐,contains,冬笋
鸡丝燕菜,contains,淀粉(蚕豆)
火腿血燕,contains,淀粉(蚕豆)
莜面卷,contains,茄子 
天麻脑花,contains,天麻
麻婆西施粥,contains,大葱
雪淋鸡,contains,鸡蛋
杏仁奶豆腐,contains,琼脂
荔枝山药粥,contains,荔枝
七草粥,contains,芹菜
肉丸粥,contains,淀粉(蚕豆)
鲤鱼脑粥,contains,鲢鱼头
牛骨茶,contains,牛油
盐猪肚饭,contains,油菜心
蛋菇,contains,香菇（鲜）
小茏蒸饺,contains,虾米
雪菜叉烧包,contains,芥菜
三鲜粥,contains,芹菜
雪花蹄筋,contains,火腿
粉丝蛋,contains,香菇（干）
文思豆腐,contains,冬笋
黄芪蒸鹌鹑,contains,黄芪
胡葱酥肉,contains,洋葱
面片甩袖汤,contains,鸡蛋
小青菜包,contains,虾皮
青椒兔柳,contains,辣椒(红、尖、干)
卤香菇素鸡,contains,虾籽
碧绿蹄筋,contains,丝瓜
鱼头炖豆腐,contains,香菜
牛肉热汤面,contains,黄豆芽
芹菜虱目鱼粥,contains,芹菜
香糟汁田鸡,contains,香菇（鲜）
鱼肉豆腐火锅,contains,竹笋
胡萝卜蛋糕,contains,发酵粉
蛋黄碎牛肉粥,contains,大葱
豆腐乳粥,contains,大葱
鱼茸蒸豆腐,contains,淀粉(蚕豆)
豆腐蛎,contains,猪肉(瘦)
甜三样,contains,梅子
醋椒鸭架汤,contains,香菜
苋菜小鱼粥,contains,苋菜(紫)
杭式牛肉羹,contains,火腿
火腿土豆泥,contains,黄油
荔枝红枣粥,contains,荔枝
茭白肉丝面,contains,香菇（干）
菟丝炖鹌鹑,contains,菟丝子
红烧兔肉,contains,青蒜
芙蓉鹑片,contains,冬笋
燕麦粳米粥,contains,燕麦片
海虾豆腐,contains,虾米
碧海珊瑚,contains,琼脂
腊八粥,contains,枣（干）
清蒸鲤鱼,contains,香菇（干）
蛤蚧参茸酒,contains,人参
期颐饼,contains,白砂糖
木耳菊花鱼丸,contains,鲜菊花
豆浆莴笋汤,contains,豆浆
冬瓜粥,contains,粳米
空心菜瘦肉粥,contains,荸荠
干煸鹑脯丝,contains,青蒜
双耳炖猪脑,contains,木耳(干)
油煎南瓜饼,contains,糯米粉
鲜奶水晶香蕉,contains,金糕
珍珠面,contains,猪肉(肥瘦)
红薯樱桃肉,contains,冰糖
营养蛋饼,contains,洋葱
稀卤豌豆,contains,冬笋
雪冬肉丝,contains,腌雪里蕻
苹果玉米豆粉羹,contains,黄豆粉
猪肉枸杞汤,contains,枸杞子
鱼头浓汤,contains,火腿
香菜粥,contains,香菜
芙蓉海底松,contains,鸡蛋清
阳春面,contains,小白菜
双菇水饺,contains,大葱
仿真燕窝粥,contains,枸杞子
冬菇云耳瘦肉粥,contains,香菇（鲜）
泥鳅粥,contains,金华火腿
鹌鹑山药粥,contains,山药
香菇盒子,contains,虾仁
豆蔻陈皮鲫鱼羹,contains,草豆蔻
红炖鱼翅,contains,绿豆芽
桑枝鸡内金瘦肉汤,contains,桑椹
五彩炒蛇丝,contains,香菇（鲜）
鸡火西瓜盅,contains,金华火腿
珊瑚鸭掌,contains,虾仁
乌鸡冬虫夏草汤,contains,冬虫夏草
锅烧河鳗,contains,猪油（板油）
羊肾粥(一),contains,草果
冻兔糕,contains,胡萝卜
荷叶粉蒸鸡,contains,籼米粉（干、细）
五元鹑蛋,contains,冰糖
松月楼素包,contains,豆腐干
松子粥,contains,松子仁
奶香麦片粥,contains,燕麦片
红焖通心河鳗,contains,香菇（干）
百合花鸡蛋羹,contains,百合花
杭式果羹,contains,藕粉
山药红枣羹,contains,松子（炒）
洋菜鸡丝,contains,琼脂
海棠赛菊,contains,肥膘肉
鸡米烩腰丁,contains,青豆
萝卜丝饼,contains,萝卜
一品赤参,contains,油菜
醋熘鳜鱼,contains,韭黄
粉蒸鲫鱼,contains,糯米粉
炖奶汤鲫鱼萝卜丝,contains,肥膘肉
奶汤草腹,contains,白萝卜
脆皮烘猪肝,contains,虾仁
卤汁素鸡,contains,冬笋
竹报平安,contains,黄芪
茯苓人参糕,contains,莲子
鸡蒙笋尖,contains,火腿肠
素烧卖,contains,虾米
白菜小米卷,contains,茄子 
桂花南瓜饼,contains,桂花
鸡肉冬菇蒸饺,contains,大葱
红米杂烩粥,contains,芋头
冬虫夏草煲乳鸽,contains,冬虫夏草
人参滋补鸭,contains,人参
韭菜老豆腐,contains,虾仁
头肚醋鱼,contains,冬笋
浓情炝锅面,contains,猪肉(瘦)
春笋枸杞肉丝,contains,枸杞子
鱼羊双鲜,contains,青蒜
